UTM-X,UTM-Y,X1,X2,X3,X4,Y,LL-X,LL-Y
589206.4375,4520028,2,1,1,5,115,-73.94208,40.82643
590807.4375,4510032,2,2,1,4.52,200,-73.92455,40.73622
588252.25,4492557.5,4,1,1,4.43,60,-73.95726,40.5791
588289.8125,4511106,1,1,1,4.8,60,-73.95421,40.74617
584965.1875,4512316,2,1,1,4.78,105,-73.99342,40.75742
588518.8125,4507699.5,1,2,1,4.8,80,-73.95198,40.71546
588411.0625,4509722,3,1,2,4,140,-73.95297,40.73369
588790.1875,4516766.5,1,1,1,4.84,65,-73.94748,40.7971
584766.1875,4510596.5,2,1,1,3,214.673913,-73.99601,40.74195
591378.6875,4512194,2,1,1,4,78,-73.91747,40.75563
585501.4375,4513688,2,1,1,4.55,150,-73.98688,40.76972
591804.3125,4505836.5,4,1,0,4.61,135,-73.91336,40.69832
590483.5625,4506463,7,1,2,4.62,167.6630435,-73.9289,40.70411
588760.625,4514444.5,4,1,0,4.5,260.326087,-73.94816,40.77619
587964.25,4508228,2,1,1,4.82,79,-73.95847,40.72028
589844.0625,4506456.5,2,1,1,4.81,50,-73.93647,40.70412
588316.375,4502270,4,1,1,4.63,155.8695652,-73.95514,40.66658
588032.875,4519218,4,1,2,4.18,150,-73.95611,40.81926
585843.375,4502294.5,5,2,3,4.73,196.0108696,-73.98439,40.66706
591309.375,4511308,1,1,1,5,51.4673913,-73.91842,40.74766
585169.5,4508860,3,1,0,5,350,-73.99147,40.72627
591185.1875,4513441.5,2,1,1,4.89,78,-73.91958,40.76689
586095.6875,4514559.5,3,1,1,4.33,120,-73.97972,40.77751
590618.125,4503605.5,2,1,1,4.58,73.48913043,-73.92772,40.67836
587252.8125,4516919,4,1,2,4.8,115,-73.96568,40.79864
585234.875,4502652.5,3,1,1,4.69,124,-73.99154,40.67035
585066.6875,4512153,2,1,1,4.67,119,-73.99224,40.75594
584726.3125,4511441.5,2,1,1,4.59,125,-73.996368,40.749565
585129.875,4512751,4,1,0,0,175,-73.99141,40.76132
585327,4509119.5,2,1,1,0,120,-73.98957,40.72859
585430.25,4514225.5,4,2,2,5,300,-73.98765,40.77457
586271.25,4514558.5,4,1,1,4.67,6000,-73.97764,40.77748
585690.6875,4502123,2,2,1,0,85.31521739,-73.98622,40.66553
583364.25,4507010,8,1,1,4.85,299.5326087,-74.01309,40.70979
585358.625,4513192.5,4,1,1,4.62,170,-73.98864,40.76527
590307.5,4504408,5,1,2,4.92,150,-73.93128,40.68562
588588.875,4507489,2,1,2,4.83,120,-73.95118,40.71356
589271.5,4518552,6,1,1,4.52,165,-73.94152,40.81313
586196.5,4515684.5,4,2,2,5,300,-73.97837,40.78763
588727.3125,4502902.5,2,1,1,0,150,-73.95019,40.67223
584968.375,4507690,2,1,1,4.65,185,-73.99401,40.71575
586389.75,4510622,3,1,1,4.77,125.7717391,-73.97678,40.74201
590840.9375,4506051,3,1,1,4.91,105,-73.92473,40.70036
588154.0625,4517962.5,2,1,1,5,95,-73.95485,40.80794
591766.4375,4506507.5,2,1,1,4,95,-73.91371,40.70437
584756.875,4495933,3,1,1,0,42.64130435,-73.9981,40.60987
586306,4515486,5,2,3,0,1000,-73.9771,40.78583
588658.75,4514781,3,1,1,4.6,175,-73.94932,40.77923
591383.625,4513366.5,1,1,1,0,65,-73.91724,40.76619
586436.375,4511257.5,2,1,0,4.47,175,-73.97614,40.74773
588345.4375,4517198.5,2,1,1,4.56,49.09782609,-73.95269,40.80104
589465.75,4509029.5,6,2,2,5,199,-73.94058,40.72734
589456.5,4508816.5,3,1,1,4.86,169,-73.94072,40.72542
586102.5,4510634,3,1,3,0,2750,-73.98018,40.74215
586093.75,4512912,3,1,2,4.92,311.4565217,-73.97997,40.76267
585612.5,4515107,6,5,4,0,800,-73.98537,40.78249
588323.0625,4502062.5,2,1,1,4.94,94.40217391,-73.95509,40.66471
588394.5625,4514991,2,1,1,4.81,115,-73.95242,40.78115
586185.4375,4513156.5,2,1,1,0,600,-73.97885,40.76486
585660.125,4513470,4,1,0,0,425,-73.98503,40.76774
585042.5,4513011,4,1,1,4.36,150,-73.99241,40.76367
586416.125,4515091,4,2,2,5,650,-73.97585,40.78226
588384.9375,4506948.5,1,1,1,4.75,55,-73.95367,40.70871
588438.4375,4514780.5,3,1,1,4.89,155,-73.95193,40.77925
