ID,pr_ann,pr_gwr_fg,pr_gwr_fb,pr_gwr_ag,pr_gwr_ab,pr_agwnn
98,0.756634593,0.978029765,0.809776909,0.97385208,0.976521391,0.988001465
99,0.770310083,0.975269517,0.808960198,0.972032213,0.974120397,0.98631906
100,0.7448851,0.975705163,0.795141807,0.970901599,0.974276881,0.986722628
101,0.769880279,0.979134282,0.821575891,0.974433846,0.97729457,0.988060854
102,0.793652635,0.979705003,0.835468094,0.975284494,0.978180647,0.98810613
103,0.795898232,0.97825756,0.83981796,0.974231731,0.976838344,0.988022581
104,0.774386283,0.976327493,0.815227884,0.970370327,0.973720322,0.986703263
105,0.785622233,0.979512286,0.828037628,0.974587832,0.977467316,0.987901408
106,0.740211279,0.975578969,0.794121421,0.973413353,0.974647926,0.988002118
107,0.772891745,0.977288464,0.824217489,0.97227728,0.975432354,0.985549785
108,0.716387782,0.976803274,0.772543332,0.972961625,0.974327495,0.986458935
109,0.761064123,0.970326722,0.815387183,0.96490604,0.967712391,0.987812748
110,0.753804047,0.972125203,0.80813775,0.969817414,0.971205225,0.984389286
111,0.779860735,0.977323119,0.821603925,0.972307188,0.975508404,0.987509166
112,0.815446928,0.981360731,0.850103812,0.976822992,0.979538784,0.989540098
113,0.760733513,0.976311474,0.806471482,0.971086503,0.974924265,0.986328865
114,0.761576907,0.975425493,0.816513309,0.971048832,0.973060608,0.987636652
115,0.758240107,0.97670624,0.809529298,0.973068805,0.975278678,0.986974926
116,0.784077661,0.976134697,0.826042771,0.972188809,0.974055156,0.984918109
117,0.778735997,0.976339678,0.829834064,0.972089375,0.973930955,0.986738
118,0.773376496,0.977139841,0.821936428,0.973255695,0.97577969,0.985951486
119,0.791675581,0.981669241,0.836331841,0.977613027,0.979813916,0.988545167
120,0.750346637,0.976637126,0.800724968,0.972296372,0.974662833,0.986940196
121,0.775257027,0.976504232,0.817705066,0.972363412,0.975318244,0.98809446
122,0.77643748,0.977880531,0.822820369,0.97314222,0.976231202,0.987231689
123,0.749204072,0.976728315,0.797765271,0.97189459,0.974475144,0.986216138
124,0.763842204,0.9739531,0.810524764,0.968418683,0.972460754,0.984520681
125,0.756527882,0.978000601,0.806051131,0.973993146,0.976549541,0.987351447
126,0.788961537,0.979413746,0.841443349,0.974339281,0.977338115,0.989015849
127,0.718709612,0.975378452,0.773557317,0.971310163,0.973300959,0.98623371
128,0.776504828,0.978583174,0.822064322,0.975143032,0.976717369,0.98447818
129,0.787649059,0.976085135,0.833167667,0.972729235,0.974693857,0.986886883
130,0.786873929,0.979854392,0.82405416,0.976910823,0.979453362,0.987859528
131,0.757658135,0.97633581,0.809163084,0.971049791,0.973873596,0.986111547
132,0.752885238,0.977299631,0.801569705,0.972358004,0.975270496,0.988552633
133,0.755783543,0.972024039,0.803901145,0.967405877,0.970227655,0.985983623
134,0.785926838,0.977937091,0.825557629,0.972839477,0.975255137,0.988198728
135,0.776709482,0.977850539,0.81932166,0.97305506,0.976228411,0.987162036
136,0.737778458,0.976659309,0.786802331,0.97259049,0.975631899,0.989038012
137,0.775790446,0.977179936,0.821667021,0.974664865,0.975619596,0.988473071
138,0.803224477,0.979403786,0.844130507,0.975549645,0.977277592,0.988022835
139,0.735724132,0.974732824,0.790483247,0.969573597,0.973003909,0.987045153
140,0.763315694,0.975324015,0.810157724,0.971868662,0.974294555,0.986038291
141,0.742956092,0.97718017,0.793712522,0.972949278,0.975752058,0.985916112
142,0.753345636,0.973256734,0.795827494,0.967613946,0.970940772,0.985649088
143,0.775901795,0.975325416,0.811369958,0.972470616,0.974046384,0.987506815
144,0.769703986,0.97832386,0.81833235,0.974465849,0.976131394,0.98806002
145,0.772834688,0.980205667,0.815409214,0.976303613,0.978611715,0.988812165
146,0.737921256,0.973848536,0.79668419,0.969259897,0.971650077,0.985182086
147,0.73875388,0.975905934,0.80182097,0.970977441,0.974475871,0.98597291
148,0.757989612,0.977678593,0.812361663,0.972315207,0.975529227,0.986051528
149,0.794735959,0.976293045,0.835506448,0.971617442,0.973467814,0.988000965
150,0.768351873,0.978836491,0.819606002,0.975531519,0.97755272,0.987795058
151,0.7527098,0.978063732,0.798141901,0.973320621,0.976958648,0.987045063
152,0.793775671,0.980074585,0.841930085,0.975998323,0.978857945,0.98761849
153,0.794181947,0.978826846,0.84164945,0.974213068,0.976933996,0.987614803
154,0.782683363,0.979120977,0.82309859,0.975895008,0.977142168,0.987383494
155,0.740269644,0.975088339,0.794209198,0.971139886,0.97438154,0.985028167
156,0.752481837,0.976752948,0.811339487,0.972206904,0.975886406,0.985825619
157,0.76582525,0.976542892,0.812351564,0.974245379,0.975346325,0.987345464
158,0.784399492,0.975901853,0.823283065,0.969808168,0.973487531,0.986752804
159,0.773042949,0.975630722,0.816849835,0.971416071,0.973558189,0.984198059
160,0.768111196,0.976988632,0.817164606,0.974708329,0.976158421,0.98534002
161,0.765706227,0.97510774,0.813842849,0.969549556,0.972949745,0.987019224
162,0.766367573,0.977589629,0.8137718,0.972746411,0.975702036,0.987407714
163,0.782233557,0.978819893,0.823903449,0.975231834,0.977359686,0.987783097
164,0.769427244,0.978170835,0.819854794,0.973288078,0.975459974,0.988708692
165,0.812033802,0.979946834,0.84674693,0.976078228,0.978648248,0.987946475
166,0.755138441,0.972662056,0.800776379,0.965543463,0.969885764,0.98541351
